"";"property_id";"city";"price";"surface_total";"surface_covered";"rooms";"bedrooms";"bathrooms";"title";"description";"property_type";"operation_type";"geometry";"dist_fitness_centre";"dist_park";"dist_playground"
"1";"7818bfdb2515268f36f561cf";"Cali";NA;NA;NA;NA;8;4;"CASA EN VENTA EN CALI";"Vendo excelente casa en el norte barrio flora industrial, la casa consta de Primer nivel garaje, 2 salas comedor independiente, cocina, patio de ropas, baño social, habitación principal con baño y patio grande, escaleras hacia el segundo nivel consta de sala comedor, balcón, 2 habitaciones, 1 baño, cocina y zona de lavado, Tercer nivel Aparta estudio para remodelar 3 habitaciones pequeñas, sala comedor pequeña, cocina, 1 baño y terraza, PIDE TU CITA CALI, Con Dios podemos alcanzarlo todo y mucho más de lo que imaginamos, DIOS TE BENDIGA.";"Casa";"Venta";c(-76.504, 3.481);897,525011036328;142,63546729537;525,834188599994
"2";"b431f95918341a3680fd120c";"Cali";NA;340;300;5;5;5;"Casa En Venta En Cali El Bosque Cod. VSBI12816";"Casa esquinera de un piso, con buena rea, excelente ubicacin. Consta de cinco cuartos, principal con bao y vestier, dos con closet y bao, bao social, alcoba de servicio con bao, patio interno ornamental, sala, comedor, sala de televisin, cocina tradicional amplia, zona de ropas con patio, garaje para dos carros en lnea, antejardn.";"Casa";"Venta";c(-76.53, 3.485);1429,10191044554;376,190083151543;1375,04692918611
"3";"528d66663acd45b08c6d7931";"Cali";NA;175;350;6;6;NA;"VENDO CASA EN ATANASIO GIRARDOT EN CALI (ANYI)";"Vendo casa de 2 pisos  mas terraza, en el Barrio Atanasio Girardot, en la comuna 8 de Cali, exclente Ubicacion, a 20 minutos del Centro de Cali, cerca a la carrera 15 y a la autopista Sur, Barrio de tradicion en Cali. 

Dos apartamentos independintes, cada piso consta de 3 alcobas, sala, comedor, cocina enchapada, patios grandes, Balcon grande, terraza con lavadero,  techada.  El  piso en ceramica, cambio de cañeria a pvc, excelente estado, antejardin Sobre via vehicular, servicios independientes. 

 
";"Casa";"Venta";c(-76.5067403, 3.4436512);1868,29049343221;372,414101052417;1503,82112666839
"4";"af7aede36ea1df2529081419";"Cali";NA;NA;90;3;3;3;"Apartamento En Venta En Cali Valle Del Lili Cod. VINHD1245";"Venta de espectacular apartamento en Valle del LIli, moderno, buenos acabados, excelente ubicacin, piso en porcelanato, con un rea de 90 metros cuadrados, distribuidos as: Sala - Comedor, balcn amplio con hermosa vista externa, bao social, cocina integral, zona de oficios, sala de T.V. y/o estudio, closet de linos, 2 habitaciones auxiliares con closet, alcoba principal con vestier y bao. Parqueadero en el stano con espacio para depsito.  La unidad tiene CLUB HOUSE. Valor administracin $270.000. Valor Venta $330.000.000";"Apartamento";"Venta";c(-76.495, 3.364);3150,96829085528;1153,11312910001;2530,63579415963
"5";"ba8e68faaf298e1ede1e442d";"Cali";NA;NA;NA;NA;3;3;"APARTAMENTO EN VENTA, CALI";"Apartamento enseguida de unicentro totalmente remodelado con 110 mtr2, 3 habitaciones, principal con baño, sala comedor, estudio, 3 baños, cocina integral moderna, habitación de servicio, parqueadero, zona social, piscina zonas verdes.";"Apartamento";"Venta";c(-76.5343562, 3.3695487);309,417737724029;152,333488394515;1480,20201996165
"6";"f4e212abe62747bfa3de35ef";"Cali";NA;NA;150;3;3;4;"Casa Condominio En Venta En Cali Ciudad Jardn";"Venta de casa en conjunto cerrado en ciudad jardn al sur de Cali. Espectacular Casa de tres pisos Remodelada, fresca e iluminada, piso en porcelanato, con rea de 150 MTS construidos, distribuidos asi: en el primer piso, encontramos sala y comedor amplio, cocina integral, patio de ropas, cuarto de empleada con bao, bao social y terraza con zona verde, en el segundo piso 2 habitaciones con closet, bao, estudio o sala de t.v. con balcn. Tercer piso: Habitacin principal con vestier y bao con tina, y una hermosa vista Doble parqueadero paralelo. El conjunto cerrado es muy tranquilo, tiene zonas verdes, piscina adultos y nios, saln social, juegos infantiles. Valor $530.000.000. Valor administracin $600.000";"Casa";"Venta";c(-76.534, 3.361);429,924955142113;259,422361719821;1847,03417277505
"7";"2ca934e229718147e9ab6a3f";"Cali";NA;85;85;3;3;2;"Apartamento En Venta En Cali Valle Del Lili Cod. VMJY1119";"Vendo hermoso apartamento en Valle de Lili al sur de Cali, cuenta con 3 habitaciones, sala Comedor, 2 baos, estudio, parqueadero propio cubierto y Balcn, ascensor, el apartamento esta completamente remodelado, aire acondicionado en la habitaciones, deposito. La copropiedad cuenta con piscina adultos y nios, zona de juegos infantiles, gimnasio, cancha mltiple y saln social, cerca de centros comerciales,, colegios y universidades y clnicas, excelentes vas de acceso en zona de alta valorizacin con excelentes vas de acceso.";"Apartamento";"Venta";c(-76.523, 3.368);146,216333399349;62,6415112343731;545,572584638645
"8";"5e1b61c197a444990f7c28bf";"Cali";NA;112;112;3;3;4;"Apartamento En Venta En Cali Cristales Cod. VVLZ3003";"Apartamento en venta cristales. Es un 2do piso con vista parcial a la ciudad, es fresco, ventilado, no le da el sol de la tarde. Cuenta con amplio balcn, cocina con isla, CyB del servicio, 3 alcobas, ppal con bao y vestier, 2 garajes independientes, cuenta con cortinas y calentador de agua. Queda en condominio con amenidades para toda la familia. Bastante seguro. Info 3205792694";"Apartamento";"Venta";c(-76.552, 3.432);816,827140990476;651,755579622094;1546,29699395727
"9";"7a1b6e9e31ff08ac7536796c";"Cali";NA;NA;161;3;3;5;"Apartamento En Venta En Cali Pance";"SE VENDE APTO EN PANCE PARA ESTRENAR EN TIKKALrea: 161.41M2 o 165.77 M2Admon: $ 750.000Descripcin: bao social, sala, comedor con balcn, cocina integral, zona de oficios, alcoba del servicio con bao, 3 alcobas con bao y closet, la ppal. con vestier, hall de alcobas. Extras: 11 parqueaderos de visitantes internos y 3 externos, portera, lobby, oficina de administracin, piscina de adultos y de nios, saln social, baos, cancha de squash, Business center, Gimnasio dotado, Solarium, Jacuzzi, spa lounge (turco y sauna) Saln para Yoga, sendero peatonal, zonas verdes y estacin de juegos infantiles, chorros de agua para nios, rea de BBQ, Planta de emergencia Total, equipo de presin constante, y UAR$ 873.000.000";"Apartamento";"Venta";c(-76.534, 3.348);893,904322402994;319,759428270326;2696,65000619469
"10";"3663c9471f8a74430e88c1e1";"Cali";NA;NA;NA;NA;4;4;"CASA CONDOMINIO EN VENTA EN CALI";"Disfruta de calidad de vida dentro de la ciudad. Aquí tienes una opción a un precio bastante competitivo. 14 cámaras de vigilancia, sistema de música ambiental, como puedes ver los acabados de lujo, la generosa cocina con todas las amenidades para los amantes del buen comer, los amplios espacios sociales y balcones, el jacuzzi, turco y tina, hacen de esta casa en condominio cerrado no solamente un lujo sino un verdadero lugar de retiro para disfrutar con los que más quieres. Escribeme al whatsApp las 24/7";"Casa";"Venta";c(-76.556, 3.458);1116,19999098083;678,569041961914;2817,3087923431
